row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,claim,closing_document,input_row_ids,org_id,verdict
V-ITIF-STATUS,,https://projects.propublica.org/nonprofits/api/v2/organizations/204403497.json,2026-09-14,"{""name"":""Information Technology And Innovation Foundation"",""ein"":204403497,""subsection_code"":3,""ruling_date"":""2007-01-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",The legal identity and stated tax status are verified,,ID-ITIF,ITIF,KEEP
V-ITIF-CASH,,https://projects.propublica.org/nonprofits/full_text/202331359349303108/IRS990ScheduleI,2026-09-14,"30,000",KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,,G-232888152-202331359349303108-9468;G-232888152-202211339349310116-8530;G-237825575-202311359349313966-6461;G-237825575-202011979349306246-3394,ITIF,KEEP
V-ITIF-DECLARED,,https://itif.org/our-supporters/,2026-09-14,"Supporters contributing more than $10,000 in the past fiscal year include:",KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,,D-ITIF,ITIF,KEEP
V-ITIF-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202331359349303108/IRS990ScheduleI,2026-09-14,"30,000",KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,,G-232888152-202331359349303108-9468;G-232888152-202211339349310116-8530;G-237825575-202311359349313966-6461;G-237825575-202011979349306246-3394,ITIF,KEEP
V-ITIF-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/204403497.json,2026-09-14,"{""name"":""Information Technology And Innovation Foundation"",""ein"":204403497,""subsection_code"":3,""ruling_date"":""2007-01-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-ITIF;DP-ITIF,ITIF,OPEN
V-TECHFREEDOM-STATUS,,https://projects.propublica.org/nonprofits/api/v2/organizations/273567814.json,2026-09-14,"{""name"":""Techfreedom"",""ein"":273567814,""subsection_code"":3,""ruling_date"":""2014-01-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",The legal identity and stated tax status are verified,,ID-TECHFREEDOM,TECHFREEDOM,KEEP
V-TECHFREEDOM-CASH,,https://projects.propublica.org/nonprofits/full_text/202601289349302480/IRS990ScheduleI,2026-09-14,"280,000",KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,,G-237825575-202601289349302480-18630;G-271716101-202543119349300534-28;G-271716101-202442499349300104-26;G-271716101-202343009349300919-18,TECHFREEDOM,KEEP
V-TECHFREEDOM-DECLARED,,https://projects.propublica.org/nonprofits/api/v2/organizations/273567814.json,2026-09-14,"{""name"":""Techfreedom"",""ein"":273567814,""subsection_code"":3,""ruling_date"":""2014-01-01""}",KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,Dated official supporter list or annual report naming funding sources.,ID-TECHFREEDOM,TECHFREEDOM,OPEN
V-TECHFREEDOM-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202601289349302480/IRS990ScheduleI,2026-09-14,"280,000",KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,,G-237825575-202601289349302480-18630,TECHFREEDOM,KEEP
V-TECHFREEDOM-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/273567814.json,2026-09-14,"{""name"":""Techfreedom"",""ein"":273567814,""subsection_code"":3,""ruling_date"":""2014-01-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-TECHFREEDOM;DP-TECHFREEDOM,TECHFREEDOM,OPEN
V-NETCHOICE-STATUS,,https://projects.propublica.org/nonprofits/api/v2/organizations/271716101.json,2026-09-14,"{""name"":""Netchoice"",""ein"":271716101,""subsection_code"":6,""ruling_date"":""2018-04-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",The legal identity and stated tax status are verified,,ID-NETCHOICE,NETCHOICE,KEEP
V-NETCHOICE-CASH,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,"Primary payer-side cash-grant schedule naming this legal grantee, amount and period.",CV-NETCHOICE,NETCHOICE,OPEN
V-NETCHOICE-DECLARED,,https://projects.propublica.org/nonprofits/api/v2/organizations/271716101.json,2026-09-14,"{""name"":""Netchoice"",""ein"":271716101,""subsection_code"":6,""ruling_date"":""2018-04-01""}",KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,Dated official supporter list or annual report naming funding sources.,ID-NETCHOICE,NETCHOICE,OPEN
V-NETCHOICE-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,"Primary DAF-sponsor grant schedule naming the grantee, amount and period.",CV-NETCHOICE,NETCHOICE,OPEN
V-NETCHOICE-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/271716101.json,2026-09-14,"{""name"":""Netchoice"",""ein"":271716101,""subsection_code"":6,""ruling_date"":""2018-04-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-NETCHOICE;DP-NETCHOICE,NETCHOICE,OPEN
V-AIPN-STATUS,,https://projects.propublica.org/nonprofits/api/v2/organizations/994513850.json,2026-09-14,"{""name"":""Ai Policy Network Inc"",""ein"":994513850,""subsection_code"":4,""ruling_date"":""2025-09-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",The legal identity and stated tax status are verified,,ID-AIPN,AIPN,KEEP
V-AIPN-CASH,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,"Primary payer-side cash-grant schedule naming this legal grantee, amount and period.",CV-AIPN,AIPN,OPEN
V-AIPN-DECLARED,,https://projects.propublica.org/nonprofits/api/v2/organizations/994513850.json,2026-09-14,"{""name"":""Ai Policy Network Inc"",""ein"":994513850,""subsection_code"":4,""ruling_date"":""2025-09-01""}",KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,Dated official supporter list or annual report naming funding sources.,ID-AIPN,AIPN,OPEN
V-AIPN-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,"Primary DAF-sponsor grant schedule naming the grantee, amount and period.",CV-AIPN,AIPN,OPEN
V-AIPN-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/994513850.json,2026-09-14,"{""name"":""Ai Policy Network Inc"",""ein"":994513850,""subsection_code"":4,""ruling_date"":""2025-09-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-AIPN;DP-AIPN,AIPN,OPEN
V-ENCODER-STATUS,,https://projects.propublica.org/nonprofits/api/v2/organizations/333199430.json,2026-09-14,"{""name"":""Encode Research Foundation"",""ein"":333199430,""subsection_code"":3,""ruling_date"":""2025-06-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",The legal identity and stated tax status are verified,,ID-ENCODER,ENCODER,KEEP
V-ENCODER-CASH,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,"Primary payer-side cash-grant schedule naming this legal grantee, amount and period.",CV-ENCODER,ENCODER,OPEN
V-ENCODER-DECLARED,,https://projects.propublica.org/nonprofits/api/v2/organizations/333199430.json,2026-09-14,"{""name"":""Encode Research Foundation"",""ein"":333199430,""subsection_code"":3,""ruling_date"":""2025-06-01""}",KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,Dated official supporter list or annual report naming funding sources.,ID-ENCODER,ENCODER,OPEN
V-ENCODER-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,"Primary DAF-sponsor grant schedule naming the grantee, amount and period.",CV-ENCODER,ENCODER,OPEN
V-ENCODER-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/333199430.json,2026-09-14,"{""name"":""Encode Research Foundation"",""ein"":333199430,""subsection_code"":3,""ruling_date"":""2025-06-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-ENCODER;DP-ENCODER,ENCODER,OPEN
V-AIPI-STATUS,,https://theaipi.org/donate/,2026-09-14,We’re a donor-supported 501(c)(3) non-profit.,Self-description only. Separate standalone EIN and determination letter unresolved. SFF lists The Hack Foundation as receiving charity; project-level money is not the sponsor’s total revenue.,The legal identity and stated tax status are verified,IRS determination/registry entry identifying the unresolved standalone legal entity; UK charity registry or tax document where charitable status is claimed.,ID-AIPI,AIPI,OPEN
V-AIPI-CASH,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,"Primary payer-side cash-grant schedule naming this legal grantee, amount and period.",CV-AIPI,AIPI,OPEN
V-AIPI-DECLARED,,https://theaipi.org/donate/,2026-09-14,We’re a donor-supported 501(c)(3) non-profit.,KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,Dated official supporter list or annual report naming funding sources.,ID-AIPI,AIPI,OPEN
V-AIPI-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,"Primary DAF-sponsor grant schedule naming the grantee, amount and period.",CV-AIPI,AIPI,OPEN
V-AIPI-SHARES,,https://theaipi.org/donate/,2026-09-14,We’re a donor-supported 501(c)(3) non-profit.,"Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-AIPI;DP-AIPI,AIPI,OPEN
V-ENCODE-STATUS,,https://encodeai.org/privacy-policy/,2026-09-14,"Encode AI Corporation, a 501(c)(4) social welfare organization",Own legal notice establishes the name and claimed status. IRS determination/EIN not located in the bounded search; registry status remains OPEN.,The legal identity and stated tax status are verified,IRS determination/registry entry identifying the unresolved standalone legal entity; UK charity registry or tax document where charitable status is claimed.,ID-ENCODE,ENCODE,OPEN
V-ENCODE-CASH,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,"Primary payer-side cash-grant schedule naming this legal grantee, amount and period.",CV-ENCODE,ENCODE,OPEN
V-ENCODE-DECLARED,,https://encodeai.org/donation/,2026-09-14,We have received donations from rank-and-file employees at all of the frontier AI companies,KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,,D-ENCODE-EMPLOYEES,ENCODE,KEEP
V-ENCODE-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,"Primary DAF-sponsor grant schedule naming the grantee, amount and period.",CV-ENCODE,ENCODE,OPEN
V-ENCODE-SHARES,,https://encodeai.org/privacy-policy/,2026-09-14,"Encode AI Corporation, a 501(c)(4) social welfare organization","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-ENCODE;DP-ENCODE,ENCODE,OPEN
V-CONTROL-STATUS,,https://find-and-update.company-information.service.gov.uk/company/15088415,2026-09-14,Private Limited Company by guarantee without share capital use of 'Limited' exemption,Companies House confirms legal existence and company form. Company registration is not charitable tax status. Former name Secure Future Research Ltd; no charity registration inferred.,The legal identity and stated tax status are verified,IRS determination/registry entry identifying the unresolved standalone legal entity; UK charity registry or tax document where charitable status is claimed.,ID-CONTROL,CONTROL,OPEN
V-CONTROL-CASH,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,"Primary payer-side cash-grant schedule naming this legal grantee, amount and period.",CV-CONTROL,CONTROL,OPEN
V-CONTROL-DECLARED,,https://find-and-update.company-information.service.gov.uk/company/15088415,2026-09-14,Private Limited Company by guarantee without share capital use of 'Limited' exemption,KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,Dated official supporter list or annual report naming funding sources.,ID-CONTROL,CONTROL,OPEN
V-CONTROL-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,"Primary DAF-sponsor grant schedule naming the grantee, amount and period.",CV-CONTROL,CONTROL,OPEN
V-CONTROL-SHARES,,https://find-and-update.company-information.service.gov.uk/company/15088415,2026-09-14,Private Limited Company by guarantee without share capital use of 'Limited' exemption,"Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-CONTROL;DP-CONTROL,CONTROL,OPEN
V-REMATCH-ARITH,,https://projects.propublica.org/nonprofits/full_text/202511349349313096/IRS990ScheduleI,2026-09-14,"{""RM-VG028"": ""125,000"", ""RM-VG030"": ""1,000,000"", ""RM-VG032"": ""762,650"", ""RM-VG034"": ""216,000"", ""RM-VG035"": ""240,250"", ""RM-VG037"": ""100,000"", ""RM-VG038"": ""270,103"", ""RM-VG040"": ""222,985"", ""RM-VG042"": ""53,161"", ""RM-VG045"": ""150,500"", ""RM-VG047"": ""3,398,603"", ""RM-VG048"": ""245,000"", ""RM-VG049"": ""100,000"", ""RM-VG053"": ""30,000"", ""RM-VG056"": ""150,000"", ""RM-VG057"": ""903,002"", ""RM-VG058"": ""190,000""}","Exact Vanguard amounts rematch the primary schedules. The figure excludes the author’s borderline tier. This is a recipient-population arithmetic finding, not a spending-purpose finding.",The original figure’s rounded growth is supported for its selected recipient set,,RM-FIGURE-2024;RM-FIGURE-2025,,KEEP
V-REMATCH-SPONSOR,,https://projects.propublica.org/nonprofits/full_text/202511349349313096/IRS990ScheduleI,2026-09-14,"{""RM-VG028"": ""125,000"", ""RM-VG030"": ""1,000,000"", ""RM-VG032"": ""762,650"", ""RM-VG034"": ""216,000"", ""RM-VG035"": ""240,250"", ""RM-VG037"": ""100,000"", ""RM-VG038"": ""270,103"", ""RM-VG040"": ""222,985"", ""RM-VG042"": ""53,161"", ""RM-VG045"": ""150,500"", ""RM-VG047"": ""3,398,603"", ""RM-VG048"": ""245,000"", ""RM-VG049"": ""100,000"", ""RM-VG053"": ""30,000"", ""RM-VG056"": ""150,000"", ""RM-VG057"": ""903,002"", ""RM-VG058"": ""190,000""}",The original claim and exact rematched amounts concern Vanguard Charitable. The named alternative sponsors are separate datasets.,"The cited growth calculation comes from SVCF, NPT or Tides schedules",,RM-FIGURE-2024;RM-FIGURE-2025;D-REMATCH-CLAIM,,KILL
V-REMATCH-SCOPE,,https://projects.propublica.org/nonprofits/full_text/202621329349306657/IRS990ScheduleI,2026-09-14,"{""RM-VG062"": ""46,011"", ""RM-VG063"": ""164,050"", ""RM-VG064"": ""1,500,000"", ""RM-VG067"": ""463,490"", ""RM-VG068"": ""100,000"", ""RM-VG069"": ""1,082,500"", ""RM-VG070"": ""252,000"", ""RM-VG071"": ""2,000,000"", ""RM-VG072"": ""600,000"", ""RM-VG073"": ""6,585,000"", ""RM-VG075"": ""25,100,000"", ""RM-VG076"": ""143,000"", ""RM-VG077"": ""400,000"", ""RM-VG080"": ""1,210,500"", ""RM-VG082"": ""5,248,902"", ""RM-VG085"": ""4,219,061"", ""RM-VG088"": ""2,700,000"", ""RM-VG089"": ""168,960"", ""RM-VG090"": ""2,500,000"", ""RM-VG092"": ""44,000"", ""RM-VG094"": ""4,000,000"", ""RM-VG095"": ""1,075,000"", ""RM-VG099"": ""1,000,000"", ""RM-VG100"": ""1,595,226"", ""RM-VG101"": ""3,350,000"", ""RM-VG102"": ""80,000""}",The author’s recipient labels include AI safety and broader EA infrastructure; grant rows do not allocate all recipient spending to policy messaging.,Every dollar in the selected cluster is established as AI-regulation messaging spending,Grant restrictions and recipient project-expense disclosures that identify the share used for regulation messaging.,RM-FIGURE-2025;RM-AI-2025,,OPEN
V-REMATCH-TENDER,,https://raw.githubusercontent.com/kevinnbass/metr-money-figure/master/figures/metr-17-the-vanguard-channel.html,2026-09-14,"The Vanguard channel: donor-advised money to the AI-safety cluster grew from $8M to $66M in the year of Anthropic's first tender offer, and no filing says whose it is",Primary Vanguard fiscal-period dates are established. No primary tender-offer document confirming both the first-offer status and transaction dates was verified; the temporal and causal link is not established.,The increase occurred in the year of Anthropic’s first tender offer,"Public tender-offer announcement, transaction document or company filing establishing first-offer status, opening/settlement dates and relevant proceeds timing.",D-REMATCH-CLAIM;RM-FIGURE-2024;RM-FIGURE-2025,,OPEN
V-REMATCH-DONOR,,https://projects.propublica.org/nonprofits/full_text/202621329349306657/IRS990ScheduleI,2026-09-14,"{""RM-VG062"": ""46,011"", ""RM-VG063"": ""164,050"", ""RM-VG064"": ""1,500,000"", ""RM-VG067"": ""463,490"", ""RM-VG068"": ""100,000"", ""RM-VG069"": ""1,082,500"", ""RM-VG070"": ""252,000"", ""RM-VG071"": ""2,000,000"", ""RM-VG072"": ""600,000"", ""RM-VG073"": ""6,585,000"", ""RM-VG075"": ""25,100,000"", ""RM-VG076"": ""143,000"", ""RM-VG077"": ""400,000"", ""RM-VG080"": ""1,210,500"", ""RM-VG082"": ""5,248,902"", ""RM-VG085"": ""4,219,061"", ""RM-VG088"": ""2,700,000"", ""RM-VG089"": ""168,960"", ""RM-VG090"": ""2,500,000"", ""RM-VG092"": ""44,000"", ""RM-VG094"": ""4,000,000"", ""RM-VG095"": ""1,075,000"", ""RM-VG099"": ""1,000,000"", ""RM-VG100"": ""1,595,226"", ""RM-VG101"": ""3,350,000"", ""RM-VG102"": ""80,000""}","The searched Schedule I rows identify the institutional payer and recipient, not the donor adviser. This does not establish that no other public document identifies an adviser.",The rematched filings identify the donor advisers or a tender-proceeds source,"Public sponsor or donor disclosure tying these exact grants to an adviser and, separately, to transaction proceeds.",RM-FIGURE-2025,,OPEN
V-SVCF-ID,,https://www.svcf.org/about,2026-09-14,20-5205488,The primary institutional disclosure supplies a different EIN; corrected before grant matching.,The supplied SVCF EIN identifies the requested sponsor,,D-SVCF-EIN,,KILL
V-NPT-ID,,https://projects.propublica.org/nonprofits/full_text/202601289349302480/IRS990,2026-09-14,23-7825575,The primary return supplies a different EIN; corrected before grant matching.,The supplied NPT EIN identifies the requested sponsor,,D-NPT-EIN,,KILL
V-SPONSOR-FORM,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,The examined sponsor documents are public-charity Form 990 returns and Schedule I. Good Ventures uses Form 990-PF.,The examined DAF sponsors use private-foundation grant schedules,,SEARCH-202543149349305759;SEARCH-202413129349304911;SEARCH-202333189349318948;SEARCH-202223199349318287;SEARCH-202103199349327615;SEARCH-202003199349301770;SEARCH-202621329349306657;SEARCH-202511349349313096;SEARCH-202441359349309439;SEARCH-202331359349303108;SEARCH-202211339349310116;SEARCH-202601289349302480;SEARCH-202511339349301311;SEARCH-202431429349301368;SEARCH-202311359349313966;SEARCH-202231339349309863;SEARCH-202121459349300307;SEARCH-202011979349306246;SEARCH-202523189349301347;SEARCH-202412739349300401;SEARCH-202400469349300305;SEARCH-202233189349313898;SEARCH-202133149349300708;SEARCH-202043149349304239,,KILL
V-SFF-CASH,,https://survivalandflourishing.fund/2024/recommendations,2026-09-14,Some of the grants below might not happen,The source explicitly warns that some recommended grants might not happen. Recommendations and matching pledges remain separate.,SFF recommendation amounts establish completed cash grants,,D-SFF-CAVEAT,,KILL
V-CG-CASH,,https://coefficientgiving.org/governance/,2026-09-14,donor-advised funds,The governance page identifies multiple awarding entities and routes. Archive dates and award amounts do not establish cash payment dates or payer identity.,The Coefficient grants archive is a single legal payer’s cash ledger,Award-specific paying-entity disclosure and cash disbursement schedule reconciled to that award.,D-CG-ROUTES,,OPEN
V-IAPS-ALLOCATION,,https://projects.propublica.org/nonprofits/full_text/202501349349105365/IRS990PF,2026-09-14,"2,100,000",The filed purpose includes general support and IAPS; no split is supplied. Only explicitly earmarked rows are separately totaled as project grants.,The full mixed-purpose Rethink Priorities grant can be allocated to IAPS,Public grant agreement or payer schedule splitting the mixed grant between general support and IAPS.,G-461008520-202501349349105365-206,,OPEN
V-CONTROL-REVENUE,,https://find-and-update.company-information.service.gov.uk/company/15088415/filing-history/MzQ2NzM5NjgxOWFkaXF6a2N4/document?format=xhtml&download=1,2026-09-14,the directors have not delivered to the registrar a copy of the Income and Expenditure Account.,The filed accounts expressly omit the income-and-expenditure account. Balance-sheet amounts cannot be substituted for revenue.,ControlAI’s published UK balance sheet establishes annual revenue,,D-CONTROL-NO-PL;D-CONTROL-NO-PL-2025,,KILL
V-HISTORICAL-FTX,,https://projects.propublica.org/nonprofits/full_text/202233199349325313/IRS990ScheduleI,2026-09-14,BUILDING A STRONGER FUTURE INC | 01-01-2021 | 12-31-2021,"The captured Building a Stronger Future return’s domestic schedule has no matched universe grantee. The historical FTX Future Fund site was inaccessible during retrieval. No historical payment, promise, recovery or present funding is imputed.",Historical FTX-related funding amounts to the requested entities are established here,"Public historical funder grant ledger, payer-side return or bankruptcy filing naming the recipient, amount, paid/promised status, and any recovery.",SEARCH-202233199349325313,,OPEN
